time,run,tau,listed_by_hycom_org
2000-02-01 03:00:00,2000013112,15,True
2000-02-01 06:00:00,2000013112,18,True
2000-02-01 09:00:00,2000013112,21,True
2000-02-26 12:00:00,2000022612,0,True
2000-03-12 12:00:00,2000031212,0,True
2000-03-17 12:00:00,2000031712,0,True
2000-03-22 12:00:00,2000032212,0,True
2000-04-01 12:00:00,2000040112,0,True
2000-04-18 12:00:00,2000041812,0,True
2000-04-30 12:00:00,2000043012,0,True
2000-05-05 21:00:00,2000050512,9,True
2000-05-06 12:00:00,2000050612,0,True
2000-05-15 06:00:00,2000051412,18,True
2000-05-24 12:00:00,2000052412,0,True
2000-06-15 18:00:00,2000061512,6,True
2000-06-17 00:00:00,2000061612,12,True
2000-07-01 21:00:00,2000070112,9,True
2000-07-04 12:00:00,2000070412,0,True
2000-07-18 00:00:00,2000071712,12,True
2000-07-22 12:00:00,2000072212,0,True
2000-08-12 12:00:00,2000081212,0,True
2000-08-28 00:00:00,2000082712,12,True
2000-09-10 12:00:00,2000091012,0,True
2000-09-11 03:00:00,2000091012,15,True
2000-09-15 12:00:00,2000091512,0,True
2000-09-21 21:00:00,2000092112,9,True
2000-10-02 21:00:00,2000100212,9,True
2000-10-04 00:00:00,2000100312,12,True
2000-10-18 12:00:00,2000101812,0,True
2000-10-20 21:00:00,2000102012,9,True
2000-10-26 12:00:00,2000102612,0,True
2000-11-03 15:00:00,2000110312,3,True
2000-11-05 21:00:00,2000110512,9,True
2000-11-06 00:00:00,2000110512,12,True
2000-11-06 03:00:00,2000110512,15,True
2000-11-06 12:00:00,2000110612,0,True
2000-11-07 12:00:00,2000110712,0,True
2000-11-08 12:00:00,2000110812,0,True
2000-11-16 09:00:00,2000111512,21,True
2000-11-16 12:00:00,2000111612,0,True
2000-11-18 09:00:00,2000111712,21,True
2000-11-18 21:00:00,2000111812,9,True
2000-11-27 12:00:00,2000112712,0,True
2000-11-29 03:00:00,2000112812,15,True
2000-12-07 00:00:00,2000120612,12,True
2000-12-07 12:00:00,2000120712,0,True
2000-12-08 12:00:00,2000120812,0,True
2000-12-12 12:00:00,2000121212,0,True
2000-12-24 12:00:00,2000122412,0,True
2000-12-31 12:00:00,2000123112,0,True
2001-01-05 18:00:00,2001010512,6,True
2001-01-14 06:00:00,2001011312,18,True
2001-01-15 12:00:00,2001011512,0,True
2001-01-20 12:00:00,2001012012,0,True
2001-02-04 21:00:00,2001020412,9,True
2001-03-09 18:00:00,2001030912,6,True
2001-04-01 15:00:00,2001040112,3,True
2001-04-06 12:00:00,2001040612,0,True
2001-04-17 03:00:00,2001041612,15,True
2001-04-24 03:00:00,2001042312,15,True
2001-04-27 18:00:00,2001042712,6,True
2001-05-02 21:00:00,2001050212,9,True
2001-05-05 03:00:00,2001050412,15,True
2001-05-07 09:00:00,2001050612,21,True
2001-05-26 15:00:00,2001052612,3,True
2001-05-29 12:00:00,2001052912,0,True
2001-06-30 12:00:00,2001063012,0,True
2001-07-29 12:00:00,2001072912,0,True
2001-08-30 12:00:00,2001083012,0,True
2001-09-06 12:00:00,2001090612,0,True
2001-09-16 12:00:00,2001091612,0,True
2001-09-21 12:00:00,2001092112,0,True
2001-10-01 12:00:00,2001100112,0,True
2001-10-03 12:00:00,2001100312,0,True
2001-10-09 06:00:00,2001100812,18,True
2001-10-12 12:00:00,2001101212,0,True
2001-10-14 21:00:00,2001101412,9,True
2001-10-24 12:00:00,2001102412,0,True
2001-11-10 06:00:00,2001110912,18,True
2001-11-30 15:00:00,2001113012,3,True
2001-12-16 12:00:00,2001121612,0,True
2001-12-23 12:00:00,2001122312,0,True
2002-01-17 00:00:00,2002011612,12,True
2002-01-19 12:00:00,2002011912,0,True
2002-01-25 12:00:00,2002012512,0,True
2002-01-25 15:00:00,2002012512,3,True
2002-01-25 18:00:00,2002012512,6,True
2002-01-25 21:00:00,2002012512,9,True
2002-01-26 00:00:00,2002012512,12,True
2002-01-26 03:00:00,2002012512,15,True
2002-01-26 06:00:00,2002012512,18,True
2002-01-26 09:00:00,2002012512,21,True
2002-01-28 12:00:00,2002012812,0,True
2002-02-01 12:00:00,2002020112,0,True
2002-02-04 12:00:00,2002020412,0,True
2002-02-07 12:00:00,2002020712,0,True
2002-02-08 12:00:00,2002020812,0,True
2002-02-23 12:00:00,2002022312,0,True
2002-03-02 09:00:00,2002030112,21,True
2002-03-14 12:00:00,2002031412,0,True
2002-04-13 12:00:00,2002041312,0,True
2002-04-18 18:00:00,2002041812,6,True
2002-04-29 09:00:00,2002042812,21,True
2002-05-01 12:00:00,2002050112,0,True
2002-05-04 12:00:00,2002050412,0,True
2002-05-06 09:00:00,2002050512,21,True
2002-05-14 12:00:00,2002051412,0,True
2002-05-31 15:00:00,2002053112,3,True
2002-06-13 15:00:00,2002061312,3,True
2002-06-26 12:00:00,2002062612,0,True
2002-06-28 06:00:00,2002062712,18,True
2002-07-01 12:00:00,2002070112,0,True
2002-07-28 12:00:00,2002072812,0,True
2002-08-15 12:00:00,2002081512,0,True
2002-08-22 12:00:00,2002082212,0,True
2002-08-27 12:00:00,2002082712,0,True
2002-08-28 12:00:00,2002082812,0,True
2002-08-29 09:00:00,2002082812,21,True
2002-08-30 12:00:00,2002083012,0,True
2002-09-05 12:00:00,2002090512,0,True
2002-09-14 06:00:00,2002091312,18,True
2002-09-18 12:00:00,2002091812,0,True
2002-09-19 12:00:00,2002091912,0,True
2002-09-27 03:00:00,2002092612,15,True
2002-09-28 12:00:00,2002092812,0,True
2002-10-01 12:00:00,2002100112,0,True
2002-10-04 12:00:00,2002100412,0,True
2002-10-07 12:00:00,2002100712,0,True
2002-10-10 09:00:00,2002100912,21,True
2002-10-17 12:00:00,2002101712,0,True
2002-10-29 09:00:00,2002102812,21,True
2002-10-29 12:00:00,2002102912,0,True
2002-11-22 12:00:00,2002112212,0,True
2002-12-14 12:00:00,2002121412,0,True
2003-01-16 12:00:00,2003011612,0,True
2003-01-26 21:00:00,2003012612,9,True
2003-02-09 12:00:00,2003020912,0,True
2003-02-25 12:00:00,2003022512,0,True
2003-03-02 06:00:00,2003030112,18,True
2003-03-07 12:00:00,2003030712,0,True
2003-03-14 12:00:00,2003031412,0,True
2003-03-17 12:00:00,2003031712,0,True
2003-03-18 12:00:00,2003031812,0,True
2003-03-23 12:00:00,2003032312,0,True
2003-04-17 12:00:00,2003041712,0,True
2003-04-30 12:00:00,2003043012,0,True
2003-05-14 12:00:00,2003051412,0,True
2003-05-18 12:00:00,2003051812,0,True
2003-05-29 09:00:00,2003052812,21,True
2003-05-30 12:00:00,2003053012,0,True
2003-06-07 12:00:00,2003060712,0,True
2003-06-08 12:00:00,2003060812,0,True
2003-06-14 12:00:00,2003061412,0,True
2003-06-18 12:00:00,2003061812,0,True
2003-06-22 12:00:00,2003062212,0,True
2003-07-03 21:00:00,2003070312,9,True
2003-07-08 03:00:00,2003070712,15,True
2003-07-14 12:00:00,2003071412,0,True
2003-08-27 12:00:00,2003082712,0,True
2003-08-29 12:00:00,2003082912,0,True
2003-09-01 12:00:00,2003090112,0,True
2003-09-11 03:00:00,2003091012,15,True
2003-09-13 12:00:00,2003091312,0,True
2003-09-20 12:00:00,2003092012,0,True
2003-09-22 00:00:00,2003092112,12,True
2003-09-27 12:00:00,2003092712,0,True
2003-09-28 12:00:00,2003092812,0,True
2003-09-28 21:00:00,2003092812,9,True
2003-09-29 12:00:00,2003092912,0,True
2003-10-08 12:00:00,2003100812,0,True
2003-10-15 12:00:00,2003101512,0,True
2003-10-25 00:00:00,2003102412,12,True
2003-10-30 12:00:00,2003103012,0,True
2003-11-06 12:00:00,2003110612,0,True
2003-11-10 00:00:00,2003110912,12,True
2003-12-06 12:00:00,2003120612,0,True
2003-12-23 12:00:00,2003122312,0,True
2003-12-25 12:00:00,2003122512,0,True
2003-12-26 12:00:00,2003122612,0,True
2003-12-27 12:00:00,2003122712,0,True
2004-01-14 12:00:00,2004011412,0,True
2004-02-05 00:00:00,2004020412,12,True
2004-03-03 21:00:00,2004030312,9,True
2004-03-10 00:00:00,2004030912,12,True
2004-03-18 12:00:00,2004031812,0,True
2004-03-19 18:00:00,2004031912,6,True
2004-03-24 15:00:00,2004032412,3,True
2004-04-13 12:00:00,2004041312,0,True
2004-04-14 06:00:00,2004041312,18,True
2004-04-24 12:00:00,2004042412,0,True
2004-04-25 18:00:00,2004042512,6,True
2004-05-18 12:00:00,2004051812,0,True
2004-07-01 06:00:00,2004063012,18,True
2004-08-17 12:00:00,2004081712,0,True
2004-08-21 12:00:00,2004082112,0,True
2004-08-23 12:00:00,2004082312,0,True
2004-09-01 00:00:00,2004083112,12,True
2004-09-18 12:00:00,2004091812,0,True
2004-11-03 12:00:00,2004110312,0,True
2004-11-11 12:00:00,2004111112,0,True
2004-11-17 12:00:00,2004111712,0,True
2004-12-28 12:00:00,2004122812,0,True
2005-01-02 12:00:00,2005010212,0,True
2005-01-08 06:00:00,2005010712,18,True
2005-01-17 12:00:00,2005011712,0,True
2005-01-25 12:00:00,2005012512,0,True
2005-01-27 12:00:00,2005012712,0,True
2005-02-05 12:00:00,2005020512,0,True
2005-03-20 12:00:00,2005032012,0,True
2005-04-19 12:00:00,2005041912,0,True
2005-04-20 12:00:00,2005042012,0,True
2005-04-24 12:00:00,2005042412,0,True
2005-04-27 12:00:00,2005042712,0,True
2005-05-05 12:00:00,2005050512,0,True
2005-05-09 12:00:00,2005050912,0,True
2005-05-29 12:00:00,2005052912,0,True
2005-05-30 06:00:00,2005052912,18,True
2005-06-01 12:00:00,2005060112,0,True
2005-06-02 12:00:00,2005060212,0,True
2005-06-05 12:00:00,2005060512,0,True
2005-06-08 12:00:00,2005060812,0,True
2005-06-09 12:00:00,2005060912,0,True
2005-06-11 12:00:00,2005061112,0,True
2005-06-19 12:00:00,2005061912,0,True
2005-06-21 09:00:00,2005062012,21,True
2005-06-27 12:00:00,2005062712,0,True
2005-07-15 12:00:00,2005071512,0,True
2005-08-11 12:00:00,2005081112,0,True
2005-08-16 18:00:00,2005081612,6,True
2005-08-23 00:00:00,2005082212,12,True
2005-09-01 12:00:00,2005090112,0,True
2005-09-02 12:00:00,2005090212,0,True
2005-09-11 12:00:00,2005091112,0,True
2005-09-14 12:00:00,2005091412,0,True
2005-09-18 12:00:00,2005091812,0,True
2005-09-22 12:00:00,2005092212,0,True
2005-09-26 12:00:00,2005092612,0,True
2005-09-29 12:00:00,2005092912,0,True
2005-11-03 21:00:00,2005110312,9,True
2005-11-10 06:00:00,2005110912,18,True
2005-11-16 06:00:00,2005111512,18,True
2005-11-16 09:00:00,2005111512,21,True
2005-11-17 12:00:00,2005111712,0,True
2005-11-19 12:00:00,2005111912,0,True
2005-12-22 12:00:00,2005122212,0,True
2005-12-25 12:00:00,2005122512,0,True
2006-01-13 03:00:00,2006011212,15,True
2006-01-30 15:00:00,2006013012,3,True
2006-02-11 09:00:00,2006021012,21,True
2006-02-21 06:00:00,2006022012,18,True
2006-02-21 12:00:00,2006022112,0,True
2006-03-01 12:00:00,2006030112,0,True
2006-03-16 09:00:00,2006031512,21,True
2006-03-28 12:00:00,2006032812,0,True
2006-03-31 12:00:00,2006033112,0,True
2006-04-20 12:00:00,2006042012,0,True
2006-04-29 21:00:00,2006042912,9,True
2006-05-09 12:00:00,2006050912,0,True
2006-05-11 15:00:00,2006051112,3,True
2006-05-12 12:00:00,2006051212,0,True
2006-05-14 12:00:00,2006051412,0,True
2006-06-29 21:00:00,2006062912,9,True
2006-07-18 12:00:00,2006071812,0,True
2006-07-18 15:00:00,2006071812,3,True
2006-07-18 18:00:00,2006071812,6,True
2006-07-18 21:00:00,2006071812,9,True
2006-08-16 15:00:00,2006081612,3,True
2006-09-04 12:00:00,2006090412,0,True
2006-09-13 00:00:00,2006091212,12,True
2006-09-27 12:00:00,2006092712,0,True
2006-10-02 12:00:00,2006100212,0,True
2006-10-25 12:00:00,2006102512,0,True
2006-11-11 12:00:00,2006111112,0,True
2006-11-13 12:00:00,2006111312,0,True
2006-11-21 12:00:00,2006112112,0,True
2006-12-06 18:00:00,2006120612,6,True
2006-12-27 09:00:00,2006122612,21,True
2007-01-02 09:00:00,2007010112,21,True
2007-01-27 12:00:00,2007012712,0,True
2007-02-04 12:00:00,2007020412,0,True
2007-03-04 12:00:00,2007030412,0,True
2007-03-30 12:00:00,2007033012,0,True
2007-04-04 12:00:00,2007040412,0,True
2007-04-15 12:00:00,2007041512,0,True
2007-04-17 12:00:00,2007041712,0,True
2007-04-26 12:00:00,2007042612,0,True
2007-05-03 12:00:00,2007050312,0,True
2007-05-04 12:00:00,2007050412,0,True
2007-05-07 12:00:00,2007050712,0,True
2007-05-13 12:00:00,2007051312,0,True
2007-05-15 12:00:00,2007051512,0,True
2007-05-24 12:00:00,2007052412,0,True
2007-05-25 09:00:00,2007052412,21,True
2007-06-03 12:00:00,2007060312,0,True
2007-06-14 12:00:00,2007061412,0,True
2007-06-16 12:00:00,2007061612,0,True
2007-06-17 12:00:00,2007061712,0,True
2007-06-21 12:00:00,2007062112,0,True
2007-06-30 12:00:00,2007063012,0,True
2007-07-03 03:00:00,2007070212,15,True
2007-07-11 21:00:00,2007071112,9,True
2007-07-25 09:00:00,2007072412,21,True
2007-07-25 12:00:00,2007072512,0,True
2007-08-18 09:00:00,2007081712,21,True
2007-08-18 12:00:00,2007081812,0,True
2007-08-23 15:00:00,2007082312,3,True
2007-08-25 12:00:00,2007082512,0,True
2007-08-31 12:00:00,2007083112,0,True
2007-08-31 18:00:00,2007083112,6,True
2007-09-12 12:00:00,2007091212,0,True
2007-09-21 12:00:00,2007092112,0,True
2007-09-25 12:00:00,2007092512,0,True
2007-09-27 12:00:00,2007092712,0,True
2007-09-30 12:00:00,2007093012,0,True
2007-10-16 15:00:00,2007101612,3,True
2007-10-19 12:00:00,2007101912,0,True
2007-10-25 12:00:00,2007102512,0,True
2007-11-04 12:00:00,2007110412,0,True
2007-11-15 12:00:00,2007111512,0,True
2007-12-10 12:00:00,2007121012,0,True
2007-12-21 12:00:00,2007122112,0,True
2008-01-05 12:00:00,2008010512,0,True
2008-01-08 09:00:00,2008010712,21,True
2008-01-12 12:00:00,2008011212,0,True
2008-01-16 12:00:00,2008011612,0,True
2008-01-29 12:00:00,2008012912,0,True
2008-01-30 12:00:00,2008013012,0,True
2008-02-07 12:00:00,2008020712,0,True
2008-02-08 12:00:00,2008020812,0,True
2008-02-22 06:00:00,2008022112,18,True
2008-02-22 09:00:00,2008022112,21,True
2008-03-22 12:00:00,2008032212,0,True
2008-03-24 12:00:00,2008032412,0,True
2008-04-05 12:00:00,2008040512,0,True
2008-04-29 12:00:00,2008042912,0,True
2008-04-30 12:00:00,2008043012,0,True
2008-05-13 12:00:00,2008051312,0,True
2008-05-17 12:00:00,2008051712,0,True
2008-06-03 12:00:00,2008060312,0,True
2008-07-01 12:00:00,2008070112,0,True
2008-07-26 15:00:00,2008072612,3,True
2008-08-12 12:00:00,2008081212,0,True
2008-08-19 12:00:00,2008081912,0,True
2008-08-22 12:00:00,2008082212,0,True
2008-09-04 12:00:00,2008090412,0,True
2008-09-05 12:00:00,2008090512,0,True
2008-09-07 12:00:00,2008090712,0,True
2008-09-23 12:00:00,2008092312,0,True
2008-09-26 06:00:00,2008092512,18,True
2008-10-01 12:00:00,2008100112,0,True
2008-10-07 12:00:00,2008100712,0,True
2008-11-29 12:00:00,2008112912,0,True
2008-12-09 12:00:00,2008120912,0,True
2009-01-02 15:00:00,2009010212,3,True
2009-01-08 12:00:00,2009010812,0,True
2009-01-13 12:00:00,2009011312,0,True
2009-01-25 12:00:00,2009012512,0,True
2009-01-26 12:00:00,2009012612,0,True
2009-02-04 12:00:00,2009020412,0,True
